点号,X (m),Y (m),Z (m)
1,0.056135,-0.000000,0.213276
2,0.056876,-0.000000,0.214208
3,0.057629,-0.000000,0.215128
4,0.058402,-0.000000,0.216048
5,0.059182,-0.000000,0.216952
6,0.059984,-0.000000,0.217856
7,0.061684,-0.000000,0.219693
8,0.063750,-0.000000,0.221798
9,0.066293,-0.000001,0.224214
10,0.069267,-0.000001,0.226824
11,0.072828,-0.000001,0.229680
12,0.076888,-0.000001,0.232626
13,0.081442,-0.000002,0.235582
14,0.086690,-0.000002,0.238592
15,0.092539,-0.000002,0.241503
16,0.099125,-0.000003,0.244287
17,0.106313,-0.000003,0.246789
18,0.113511,-0.000004,0.248788
19,0.120455,-0.000004,0.250273
20,0.127276,-0.000005,0.251337
21,0.133510,-0.000005,0.251983
22,0.139444,-0.000006,0.252321
23,0.145040,-0.000006,0.252398
24,0.149927,-0.000007,0.252278
25,0.154448,-0.000007,0.252014
26,0.158286,-0.000008,0.251676
27,0.161775,-0.000008,0.251277
28,0.163371,-0.000008,0.251066
29,0.164970,-0.000009,0.250837
30,0.166573,-0.000009,0.250589
31,0.168178,-0.000009,0.250322
32,0.169787,-0.000009,0.250037
33,0.170004,-0.000009,0.249997
