点号,X (m),Y (m),Z (m)
1,0.056135,-0.000000,0.213276
2,0.056862,-0.000000,0.214285
3,0.057598,-0.000000,0.215278
4,0.058354,-0.000000,0.216270
5,0.059124,-0.000000,0.217252
6,0.059912,-0.000000,0.218230
7,0.061543,0.000000,0.220172
8,0.063593,0.000000,0.222469
9,0.066063,0.000000,0.225053
10,0.069049,0.000000,0.227938
11,0.072475,0.000000,0.230970
12,0.076477,0.000000,0.234185
13,0.081039,0.000000,0.237478
14,0.086529,0.000000,0.240985
15,0.092320,0.000000,0.244215
16,0.099117,0.000001,0.247469
17,0.106309,0.000001,0.250351
18,0.114679,0.000001,0.253058
19,0.122894,0.000001,0.255102
20,0.131266,0.000002,0.256609
21,0.139470,0.000002,0.257560
22,0.147350,0.000002,0.258006
23,0.154717,0.000002,0.258024
24,0.161656,0.000002,0.257697
25,0.168016,0.000003,0.257110
26,0.174065,0.000003,0.256297
27,0.179379,0.000003,0.255380
28,0.184169,0.000003,0.254389
29,0.188233,0.000003,0.253426
30,0.191532,0.000004,0.252562
31,0.193230,0.000004,0.252088
32,0.194931,0.000004,0.251593
33,0.196635,0.000004,0.251077
34,0.198340,0.000004,0.250540
35,0.199985,0.000004,0.250004
