点号,X (m),Y (m),Z (m)
1,0.056136,-0.000000,0.213277
2,0.056878,-0.000000,0.214210
3,0.057651,-0.000000,0.215156
4,0.058401,-0.000000,0.216048
5,0.059182,-0.000000,0.216953
6,0.059982,-0.000000,0.217855
7,0.061677,-0.000000,0.219688
8,0.063751,-0.000000,0.221802
9,0.066294,-0.000001,0.224218
10,0.069297,-0.000001,0.226853
11,0.072829,-0.000001,0.229686
12,0.076888,-0.000001,0.232631
13,0.081455,-0.000001,0.235596
14,0.086667,-0.000002,0.238586
15,0.092548,-0.000002,0.241515
16,0.099100,-0.000003,0.244286
17,0.106322,-0.000003,0.246801
18,0.113496,-0.000004,0.248795
19,0.120458,-0.000005,0.250286
20,0.127192,-0.000005,0.251339
21,0.133516,-0.000006,0.251998
22,0.139490,-0.000006,0.252337
23,0.145104,-0.000007,0.252413
24,0.150082,-0.000007,0.252288
25,0.154458,-0.000008,0.252030
26,0.158316,-0.000008,0.251690
27,0.161787,-0.000009,0.251293
28,0.163383,-0.000009,0.251082
29,0.164984,-0.000009,0.250853
30,0.166591,-0.000009,0.250604
31,0.168190,-0.000010,0.250339
32,0.169798,-0.000010,0.250053
33,0.170018,-0.000010,0.250013
