点号,X (m),Y (m),Z (m)
1,0.056136,-0.000000,0.213277
2,0.056875,-0.000000,0.214208
3,0.057629,-0.000000,0.215131
4,0.058402,-0.000000,0.216053
5,0.059181,-0.000000,0.216956
6,0.059985,-0.000000,0.217864
7,0.061676,-0.000000,0.219695
8,0.063770,-0.000000,0.221830
9,0.066292,-0.000000,0.224230
10,0.069257,-0.000001,0.226835
11,0.072828,-0.000001,0.229705
12,0.076870,-0.000001,0.232642
13,0.081450,-0.000001,0.235621
14,0.086658,-0.000002,0.238613
15,0.092544,-0.000002,0.241550
16,0.099119,-0.000003,0.244334
17,0.106317,-0.000003,0.246846
18,0.113530,-0.000004,0.248854
19,0.120465,-0.000004,0.250342
20,0.127253,-0.000005,0.251407
21,0.133525,-0.000005,0.252062
22,0.139482,-0.000006,0.252404
23,0.145057,-0.000007,0.252485
24,0.150069,-0.000007,0.252363
25,0.154470,-0.000008,0.252107
26,0.158304,-0.000008,0.251771
27,0.161796,-0.000008,0.251375
28,0.163393,-0.000009,0.251165
29,0.164993,-0.000009,0.250936
30,0.166601,-0.000009,0.250688
31,0.168202,-0.000009,0.250424
32,0.169814,-0.000009,0.250139
33,0.170029,-0.000009,0.250099
